주차장이름(pl_nm),법정동코드(bemd_code),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
긴고랑로13길 069-00 주차장,10100,0,5.0,127.083113,37.565473
긴고랑로13길 071-00 주차장,10100,0,2.0,127.083166,37.56557
원우주택 주차장,10100,0,3.0,127.083205,37.565676
테미하우스 주차장,10100,0,8.0,127.083446,37.56558
신동빌 주차장,10100,0,3.0,127.083273,37.565777
은성빌딩 주차장,10100,0,5.0,127.081465,37.565003
긴고랑로9길 035-04 주차장,10100,0,4.0,127.081465,37.565181
창우그린빌 주차장,10100,0,2.0,127.081706,37.565022
마레빌 주차장,10100,0,6.0,127.081889,37.565331
긴고랑로9길 048-06 주차장,10100,0,6.0,127.082239,37.565376
로얄그린빌 주차장,10100,0,8.0,127.082176,37.565545
긴고랑로9길 052-00 주차장,10100,0,2.0,127.082181,37.565663
긴고랑로9길 066-00 주차장,10100,0,2.0,127.082374,37.566226
능동로 393-00 주차장,10100,0,5.0,127.083246,37.564376
동성교회 주차장,10100,0,31.0,127.083184,37.564607
능동로 403-01 주차장,10100,0,1.0,127.083596,37.565096
능동로 405-00 주차장,10100,0,1.0,127.083759,37.565333
아이엠빌딩 주차장,10100,0,26.0,127.083838,37.565594
능동로49길 010-00 주차장,10100,0,5.0,127.082897,37.564498
벨라 주차장,10100,0,9.0,127.082796,37.565789
능동로51길 022-00 주차장,10100,0,2.0,127.083076,37.566187
현진스위트홈 주차장,10100,0,4.0,127.082794,37.566096
능동로51길 025-12 주차장,10100,0,9.0,127.082388,37.565696
은주빌라 주차장,10100,0,4.0,127.082401,37.565407
능동로51길 025-06 주차장,10100,0,2.0,127.082585,37.566042
능동로51길 025-08 주차장,10100,0,7.0,127.082471,37.565865
미리내 주차장,10100,0,4.0,127.082642,37.566143
능동로51길 028-00 주차장,10100,0,1.0,127.082606,37.566328
긴고랑로9길 064-00 주차장,10100,0,2.0,127.082319,37.566138
파인빌 주차장,10100,0,5.0,127.081555,37.565473
금강산화로구이 주차장,10100,0,22.0,127.08143,37.565773
중곡동 주택 주차장,10100,0,8.0,127.081688,37.566017
면목로 136-06 주차장,10100,0,3.0,127.081315,37.56535
긴고랑로13길 036-00 주차장,10100,0,2.0,127.084052,37.564012
능동로50길 009-00 주차장,10100,0,5.0,127.0841,37.564047
기틀 주차장,10100,0,5.0,127.083899,37.564259
신성탑빌리지 주차장,10100,0,5.0,127.08398,37.56434
긴고랑로 015-00 주차장,10100,0,2.0,127.078243,37.563863
긴고랑로 015-01 주차장,10100,0,8.0,127.078351,37.563998
서해해물탕 주차장,10100,0,3.0,127.078432,37.563826
돈까스보쌈 주차장,10100,0,4.0,127.078581,37.563774
긴고랑로 018-01 주차장,10100,0,3.0,127.078497,37.563425
직화짬뽕 주차장,10100,0,3.0,127.078772,37.56371
긴고랑로 019-12 주차장,10100,0,2.0,127.078473,37.563959
