주차장이름,주차면수,경도,위도,전일가격,법정동코드
611 노상주차장,1,127.09503,37.537711,40000,10300
611 노상주차장,1,127.094895,37.537633,40000,10300
611 노상주차장,1,127.095208,37.53876,40000,10300
611 노상주차장,1,127.095211,37.538803,40000,10300
611 노상주차장,1,127.095165,37.537814,40000,10300
587 노상주차장,1,127.090047,37.5365402,40000,10300
587 노상주차장,1,127.0899606,37.5365308,40000,10300
587 노상주차장,1,127.0898957,37.5365257,40000,10300
587 노상주차장,1,127.0898416,37.536524,40000,10300
587 노상주차장,1,127.0897681,37.5365257,40000,10300
587 노상주차장,1,127.0897069,37.536527,40000,10300
587 노상주차장,1,127.0896522,37.5365231,40000,10300
587 노상주차장,1,127.0896109,37.5365236,40000,10300
587 노상주차장,1,127.0895374,37.5365261,40000,10300
587 노상주차장,1,127.089478,37.536525,40000,10300
성진강변스파랜드,10,127.091285,37.5348715,40000,10300
동서울호텔길(노상),93,127.091634,37.5331504,0,10300
동서울호텔길A공영주차장,1,127.091746,37.534048,40000,10300
동서울호텔길A공영주차장,1,127.091743,37.534197,40000,10300
동서울호텔길A공영주차장,1,127.091743,37.534213,40000,10300
612-7 노상주차장,1,127.0860067,37.5490632,40000,10300
612-7 노상주차장,1,127.0859817,37.5490875,40000,10300
612-7 노상주차장,1,127.0859428,37.5491159,40000,10300
612-7 노상주차장,1,127.0855659,37.5488521,40000,10300
612-7 노상주차장,1,127.0855599,37.5488465,40000,10300
612-7 노상주차장,1,127.085553,37.5488413,40000,10300
612-7 노상주차장,1,127.0855465,37.5488344,40000,10300
612-7 노상주차장,1,127.0855394,37.5488305,40000,10300
612-7 노상주차장,1,127.0855288,37.5488208,40000,10300
612-7 노상주차장,1,127.0855122,37.5488039,40000,10300
612-7 노상주차장,1,127.0854921,37.5487983,40000,10300
612-7 노상주차장,1,127.0854683,37.5487809,40000,10300
612-7 노상주차장,1,127.085449,37.548762,40000,10300
612-7 노상주차장,1,127.0854579,37.5487299,40000,10300
612-7 노상주차장,1,127.0854681,37.5487089,40000,10300
612-10 노상주차장,1,127.0854819,37.5484235,40000,10300
612-10 노상주차장,1,127.085572,37.5482643,40000,10300
612-10 노상주차장,1,127.085551,37.5483007,40000,10300
