"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2801","MULTIPOINT(963976.52054696 1949980.97761175)","0","광진경찰서","광진구","","광장초등학교","초등학교","서울특별시 광진구 광장로1길 27","127.092186","37.548462"
"2802","MULTIPOINT(964926.091439732 1949973.58444036)","0","광진경찰서","광진구","","광장유치원","유치원","서울특별시 광진구 광장로7길 17 (광장동)","127.102936","37.548432"
"2803","MULTIPOINT(963784.668317918 1948727.45323186)","0","광진경찰서","광진구","","구남초등학교","초등학교","서울특별시 광진구 구의3동 구의 강변로 69","127.090076","37.537156"
"2804","MULTIPOINT(963826.29707992 1949055.8945445)","0","광진경찰서","광진구","","우리티움아이어린이집","어린이집","서울특별시 광진구 구의로4길 21 (구의동)","127.090531","37.540118"
"2805","MULTIPOINT(963555.820085254 1948016.62337931)","0","광진경찰서","광진구","","양남초등학교","초등학교","서울특별시 광진구 뚝섬로 64길 71","127.087521","37.53074"
"2806","MULTIPOINT(963539.733749389 1948257.00325443)","0","광진경찰서","광진구","","선경유치원","유치원","서울특별시 광진구 뚝섬로 66길 14","127.087327","37.532906"
"2807","MULTIPOINT(963555.955350825 1948047.46580357)","0","광진경찰서","광진구","","양남병설유치원","유치원","서울특별시 광진구 뚝섬로64길 71","127.087521","37.531018"
"2808","MULTIPOINT(964712.117186839 1949281.18811551)","0","광진경찰서","광진구","","보성유치원","유치원","서울특별시 광진구 아차산로 552","127.100547","37.542183"
"2809","MULTIPOINT(964569.155970821 1949130.79897719)","0","광진경찰서","광진구","","광남초등학교","초등학교","서울특별시 광진구 아차산로 70길 35","127.098936","37.540822"
"2810","MULTIPOINT(964084.466277176 1949388.6115256)","0","광진경찰서","광진구","","청구이화유치원","유치원","서울특별시 광진구 아차산로499(광장동 청구)","127.093437","37.543127"
"2811","MULTIPOINT(963750.368950978 1949309.95965213)","0","광진경찰서","광진구","","샬롬유치원","유치원","서울특별시 광진구 아차산로65길 65 (구의동)","127.089659","37.542405"
"2812","MULTIPOINT(964215.967505513 1949153.94744362)","0","광진경찰서","광진구","","사랑의어린이집","어린이집","서울특별시 광진구 아차산로66길 8 (광장동)","127.094937","37.541017"
"2813","MULTIPOINT(964520.415418043 1949198.79510986)","0","광진경찰서","광진구","","광남유치원","유치원","서울특별시 광진구 아차산로70길 40 (광장동)","127.098381","37.541433"
"2814","MULTIPOINT(964254.031269406 1950608.17876663)","0","광진경찰서","광진구","","영화유치원","유치원","서울특별시 광진구 영화사로 105","127.095297","37.554126"
"2815","MULTIPOINT(963789.866230069 1950527.424016)","0","광진경찰서","광진구","","동의초등학교","초등학교","서울특별시 광진구 영화사로 111","127.090046","37.55338"
"2816","MULTIPOINT(964131.793128449 1950691.91578384)","0","광진경찰서","광진구","","경원유치원","유치원","서울특별시 광진구 영화사로 89","127.093909","37.554876"
"2817","MULTIPOINT(963818.796121949 1950375.85595943)","0","광진경찰서","광진구","","슬기유치원","유치원","서울특별시 광진구 자양로 296 (구의동)","127.090381","37.552015"
"2818","MULTIPOINT(963713.703597008 1949895.58362842)","0","광진경찰서","광진구","","광진초등학교","초등학교","서울특별시 광진구 자양로 40길 41","127.089215","37.547682"
"2819","MULTIPOINT(963561.398327365 1950174.28229601)","0","광진경찰서","광진구","","구의2동어린이집","어린이집","서울특별시 광진구 자양로44길 91 (구의동)","127.087477","37.550188"
"2820","MULTIPOINT(963539.693343513 1948247.7949016)","0","광진경찰서","광진구","","성동초등학교","초등학교","서울특별시 광진구 자양로4길 63","127.087327","37.532823"
