관리번호,위도,경도
광나루로3-8,37.5463953,127.0760489
광나루로4-1,37.5481031,127.0726483
광나루로4-2,37.5480866,127.0722153
광나루로4-3,37.5480715,127.0718231
광나루로4-4,37.5481044,127.0715316
광나루로4-5,37.5481413,127.07127
광나루로4-6,37.5481925,127.0709697
광나루로4-7,37.5482335,127.070742
광나루로5-1,37.5461996,127.076458
광나루로5-10,37.5453751,127.0793799
광나루로5-11,37.5453358,127.0796887
광나루로5-12,37.5453075,127.0799832
광나루로5-13,37.545313,127.0803765
광나루로5-14,37.5452654,127.0808069
광나루로5-15,37.5452598,127.0811494
광나루로5-16,37.5452407,127.0814664
광나루로5-17,37.5452146,127.0817666
광나루로5-18,37.5451957,127.082078
광나루로5-19,37.5452006,127.0823809
광나루로5-2,37.5460451,127.0767476
광나루로5-20,37.5451972,127.0825436
광나루로5-3,37.5459122,127.0770676
광나루로5-4,37.5458077,127.0774475
광나루로5-5,37.5457143,127.0778102
광나루로5-6,37.5456435,127.0781728
광나루로5-7,37.5455668,127.0784681
광나루로5-8,37.5454591,127.0789238
광나루로5-9,37.5454283,127.0791136
광나루로56길1-1,37.5347521,127.0957574
광나루로56길1-10,37.5359812,127.0947293
광나루로56길1-11,37.5361613,127.0946971
광나루로56길1-12,37.5361918,127.0950366
광나루로56길1-13,37.5363547,127.0952366
광나루로56길1-14,37.5366397,127.0955633
광나루로56길1-15,37.5368392,127.095916
광나루로56길1-16,37.5366691,127.0961433
광나루로56길1-17,37.5364198,127.0964785
광나루로56길1-18,37.5363412,127.0965779
광나루로56길1-19,37.5369337,127.0958758
광나루로56길1-2,37.5347239,127.0954208
광나루로56길1-20,37.5371622,127.0961547
광나루로56길1-21,37.537298,127.096304
광나루로56길1-22,37.5375491,127.0965969
광나루로56길1-23,37.537832,127.0969378
광나루로56길1-24,37.5380695,127.097211
광나루로56길1-25,37.5383363,127.0974926
광나루로56길1-26,37.5386554,127.0978927
광나루로56길1-27,37.5388137,127.0980672
광나루로56길1-28,37.5389767,127.0982644
광나루로56길1-3,37.5349106,127.0953463
광나루로56길1-4,37.5350883,127.0952463
광나루로56길1-5,37.535221,127.0951804
광나루로56길1-6,37.5353334,127.0951119
광나루로56길1-7,37.5355089,127.0950119
광나루로56길1-8,37.5356752,127.094895
광나루로56길1-9,37.5358529,127.0947865
광나루로56길2-1,37.5392484,127.0979913
광나루로56길2-10,37.5371332,127.0955465
광나루로56길2-11,37.5369658,127.0953776
광나루로56길2-12,37.5366966,127.0950479
광나루로56길2-13,37.5364768,127.0947011
광나루로56길2-14,37.5364311,127.0945174
광나루로56길2-15,37.5365592,127.0944206
광나루로56길2-16,37.536858,127.0941614
광나루로56길2-2,37.538995,127.0977013
광나루로56길2-3,37.5388049,127.0974618
광나루로56길2-4,37.5385844,127.0972199
광나루로56길2-5,37.5383798,127.0970141
광나루로56길2-6,37.5380631,127.0966535
광나루로56길2-7,37.5378436,127.0963774
광나루로56길2-8,37.5375992,127.0960957
광나루로56길2-9,37.5373549,127.0958085
광나루로6-1,37.5641751,127.0762142
