"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"광진구","공원-자양3-044-비상벨","37.5322","127.0744","1","2022-12-01"
"광진구","공원-자양4-016-비상벨","37.5393","127.0682","1","2022-12-01"
"광진구","공원-자양4-017-01","37.5392","127.0686","1","2022-12-01"
"광진구","공원-자양4-017-비상벨","37.5392","127.0686","1","2022-12-01"
"광진구","공원-자양4-019-01","37.5352","127.0678","1","2022-12-01"
"광진구","공원-자양4-019-비상벨","37.5352","127.0678","1","2022-12-01"
"광진구","공원-자양4-020-01","37.5330","127.0664","1","2022-12-01"
"광진구","공원-자양4-020-02","37.5330","127.0664","1","2022-12-01"
"광진구","공원-자양4-020-비상벨","37.5330","127.0664","1","2022-12-01"
"광진구","공원-자양4-056-01","37.5364","127.0618","1","2022-12-01"
"광진구","공원-자양4-056-02","37.5364","127.0618","1","2022-12-01"
"광진구","공원-자양4-056-03","37.5364","127.0618","1","2022-12-01"
"광진구","공원-자양4-056-비상벨","37.5364","127.0618","1","2022-12-01"
"광진구","공원-자양4-059-01","37.5359","127.0677","1","2022-12-01"
"광진구","공원-자양4-059-02","37.5359","127.0677","1","2022-12-01"
"광진구","공원-자양4-059-03","37.5359","127.0677","1","2022-12-01"
"광진구","공원-자양4-059-비상벨","37.5359","127.0677","1","2022-12-01"
"광진구","공원-자양4-084-01","37.5372","127.0689","1","2022-12-01"
"광진구","공원-자양4-084-02","37.5372","127.0689","1","2022-12-01"
"광진구","공원-자양4-084-비상벨","37.5372","127.0689","1","2022-12-01"
"광진구","공원-자양4-092-01","37.5352","127.0681","1","2022-12-01"
"광진구","공원-자양4-092-02","37.5352","127.0681","1","2022-12-01"
"광진구","공원-자양4-092-03","37.5352","127.0681","1","2022-12-01"
"광진구","공원-자양4-092-비상벨","37.5352","127.0681","1","2022-12-01"
"광진구","공원-중곡1-021-01","37.5648","127.0794","1","2022-12-01"
"광진구","공원-중곡1-021-비상벨","37.5648","127.0794","1","2022-12-01"
"광진구","공원-중곡2-022-01","37.5597","127.0841","1","2022-12-01"
"광진구","공원-중곡2-022-비상벨","37.5597","127.0841","1","2022-12-01"
"광진구","공원-중곡3-023-01","37.5686","127.0804","1","2022-12-01"
"광진구","공원-중곡3-023-비상벨","37.5686","127.0804","1","2022-12-01"
"광진구","공원-중곡3-024-01","37.5701","127.0845","1","2022-12-01"
"광진구","공원-중곡3-024-02","37.5701","127.0845","1","2022-12-01"
"광진구","공원-중곡3-024-03","37.5701","127.0845","1","2022-12-01"
"광진구","공원-중곡3-024-04","37.5701","127.0845","1","2022-12-01"
"광진구","공원-중곡3-024-비상벨","37.5701","127.0845","1","2022-12-01"
"광진구","공원-중곡3-049-01","37.5687","127.0779","1","2022-12-01"
"광진구","공원-중곡3-049-02","37.5687","127.0779","1","2022-12-01"
"광진구","공원-중곡3-049-비상벨","37.5687","127.0779","1","2022-12-01"
"광진구","공원-중곡3-093-02","37.5664","127.0774","1","2022-12-01"
