일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
46,4757771,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.071802,37.54666
47,4738707,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.07192,37.54666
48,4759328,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.071997,37.546607
49,4757772,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.072026,37.546559
50,4805930,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.072023,37.546501
51,4837291,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.072122,37.546503
52,4757114,111-136 노상주차장,11215,10700,서울특별시 광진구 화양동 111-136,0,0,0,0,0,0,30000,20000,40000,127.07242,37.546434
53,4738277,60-2 노상주차장,11215,10700,서울특별시 광진구 화양동 60-2,0,0,0,0,0,0,30000,20000,40000,127.071286,37.544999
54,4756443,60-2 노상주차장,11215,10700,서울특별시 광진구 화양동 60-2,0,0,0,0,0,0,30000,20000,40000,127.071466,37.545087
55,4808082,58-13 노상주차장,11215,10700,서울특별시 광진구 화양동 58-13,0,0,0,0,0,0,30000,20000,40000,127.071817,37.545216
56,4757994,58-10 노상주차장,11215,10700,서울특별시 광진구 화양동 58-10,0,0,0,0,0,0,30000,20000,40000,127.071881,37.545184
57,4838025,53-2 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 53-2,0,0,0,0,0,0,30000,20000,40000,127.071984,37.545154
58,4814467,53-2 노상주차장,11215,10700,서울특별시 광진구 화양동 53-2,0,0,0,0,0,0,30000,20000,40000,127.072045,37.545135
59,4754804,1-22 노상주차장,11215,10700,서울특별시 광진구 화양동 1-22,0,0,0,0,0,0,30000,20000,40000,127.072081,37.545046
60,4759413,1-24 노상주차장,11215,10700,서울특별시 광진구 화양동 1-24,0,0,0,0,0,0,30000,20000,40000,127.072002,37.544926
61,4755124,1-26 노상주차장,11215,10700,서울특별시 광진구 화양동 1-26,0,0,0,0,0,0,30000,20000,40000,127.071938,37.544739
62,4755125,1-2 노상주차장,11215,10700,서울특별시 광진구 화양동 1-2,0,0,0,0,0,0,30000,20000,40000,127.071892,37.544639
63,4759414,1-6 노상주차장,11215,10700,서울특별시 광진구 화양동 1-6,0,0,0,0,0,0,30000,20000,40000,127.071855,37.544553
64,4820698,1-6 노상주차장,11215,10700,서울특별시 광진구 화양동 1-6,0,0,0,0,0,0,30000,20000,40000,127.071759,37.544449
65,4735340,51-3 노상주차장,11215,10700,서울특별시 광진구 화양동 51-3,0,0,0,0,0,0,30000,20000,40000,127.072448,37.545009
66,4757993,51-3 노상주차장,11215,10700,서울특별시 광진구 화양동 51-3,0,0,0,0,0,0,30000,20000,40000,127.07251,37.545059
67,4807585,111-121 노상주차장,11215,10700,서울특별시 광진구 화양동 111-121 글방고시원,0,0,0,0,0,0,30000,20000,40000,127.073217,37.54597
68,5533106,31-25 노상주차장,11215,10700,서울특별시 광진구 화양동 31-25,0,0,0,0,0,0,30000,20000,40000,127.067626,37.545049
69,4813429,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065173,37.542381
70,4810156,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065272,37.54235
71,4820828,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065314,37.542337
72,4757753,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065355,37.542326
73,4755154,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065395,37.542295
74,4757754,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065446,37.542285
75,4735946,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065476,37.542307
76,4757755,49-21 노상주차장,11215,10700,서울특별시 광진구 화양동 49-21,0,0,0,0,0,0,30000,20000,40000,127.065492,37.542258
77,4820714,37-29 노상주차장,11215,10700,서울특별시 광진구 화양동 37-29,0,0,0,0,0,0,30000,20000,40000,127.06688,37.545227
78,4756452,37-29 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 37-29,0,0,0,0,0,0,30000,20000,40000,127.066941,37.545239
79,4838023,36-41 노상주차장,11215,10700,서울특별시 광진구 화양동 36-41,0,0,0,0,0,0,30000,20000,40000,127.06736,37.544865
80,4754479,33-47 노상주차장,11215,10700,서울특별시 광진구 화양동 33-47,0,0,0,0,0,0,30000,20000,40000,127.067608,37.545004
81,4737291,33-47 노상주차장,11215,10700,서울특별시 광진구 화양동 33-47,0,0,0,0,0,0,30000,20000,40000,127.067923,37.54492
82,4754478,33-37 노상주차장,11215,10700,서울특별시 광진구 화양동 33-37,0,0,0,0,0,0,30000,20000,40000,127.067933,37.544923
83,4757492,35-66 노상주차장,11215,10700,서울특별시 광진구 화양동 35-66,0,0,0,0,0,0,30000,20000,40000,127.068918,37.544329
84,4757491,35-2 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 35-2,0,0,0,0,0,0,30000,20000,40000,127.068759,37.544066
85,4757807,35-2 노상주차장,11215,10700,서울특별시 광진구 화양동 35-2,0,0,0,0,0,0,30000,20000,40000,127.068698,37.543928
86,4735318,35-27 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 35-27,0,0,0,0,0,0,30000,20000,40000,127.068403,37.543379
87,4838024,36-84 노상주차장,11215,10700,서울특별시 광진구 화양동 36-84,0,0,0,0,0,0,30000,20000,40000,127.068124,37.544607
88,4756155,35-53 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 35-53,0,0,0,0,0,0,30000,20000,40000,127.068102,37.54453
89,4757484,36-16 노상주차장,11215,10700,서울특별시 광진구 화양동 36-16,0,0,0,0,0,0,30000,20000,40000,127.068099,37.544465
90,4757806,36-72 노상주차장,11215,10700,서울특별시 광진구 화양동 36-72,0,0,0,0,0,0,30000,20000,40000,127.067955,37.544274
91,4757490,36-72 노상주차장,11215,10700,서울특별시 광진구 화양동 36-72,0,0,0,0,0,0,30000,20000,40000,127.067857,37.54407
92,4757489,36-72 노상주차장,11215,10700,서울특별시 광진구 화양동 36-72,0,0,0,0,0,0,30000,20000,40000,127.067851,37.544026
93,4825434,36-72 노상주차장,11215,10700,서울특별시 광진구 화양동 36-72,0,0,0,0,0,0,30000,20000,40000,127.067823,37.543948
94,4757488,36-72 노상주차장,11215,10700,서울특별시 광진구 화양동 36-72,0,0,0,0,0,0,30000,20000,40000,127.067765,37.543878
95,4757487,35-21 노상주차장,11215,10700,서울특별시 광진구 화양동 35-21,0,0,0,0,0,0,30000,20000,40000,127.067694,37.543721
96,4757485,35-23 노상주차장,11215,10700,서울특별시 광진구 화양동 35-23,0,0,0,0,0,0,30000,20000,40000,127.067661,37.543659
97,4757486,35-22 노상주차장,11215,10700,서울특별시 광진구 화양동 35-22,0,0,0,0,0,0,30000,20000,40000,127.067639,37.543656
98,4820829,46-17 노상주차장,11215,10700,서울특별시 광진구 화양동 46-17 성진빌딩,0,0,0,0,0,0,30000,20000,40000,127.067124,37.542714
99,4757757,46-17 노상주차장,11215,10700,서울특별시 광진구 화양동 46-17 성진빌딩,0,0,0,0,0,0,30000,20000,40000,127.067094,37.542664
100,4755155,45-3 노상주차장,11215,10700,서울특별시 광진구 화양동 45-3 햇님공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.067059,37.542551
101,4808861,45-3 노상주차장,11215,10700,서울특별시 광진구 화양동 45-3 햇님공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.067011,37.542506
102,4756154,37-9 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 37-9,0,0,0,0,0,0,30000,20000,40000,127.067048,37.544255
103,4810161,37-11 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 37-11,0,0,0,0,0,0,30000,20000,40000,127.066983,37.544181
104,4755142,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066316,37.544742
105,4756456,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066271,37.544627
106,4736662,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066316,37.544599
107,4810105,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066288,37.544604
108,4808137,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066231,37.54453
109,4809380,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066159,37.544438
110,4756455,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.0661,37.544401
111,4756454,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066124,37.544329
112,4756453,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.066039,37.544146
113,4755141,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.06607,37.544233
114,4755153,45-15 노상주차장,11215,10700,서울특별시 광진구 화양동 45-15,0,0,0,0,0,0,30000,20000,40000,127.066673,37.543553
115,4825399,44-37 노상주차장,11215,10700,서울특별시 광진구 화양동 44-37,0,0,0,0,0,0,30000,20000,40000,127.065681,37.543075
116,4818156,44-86 노상주차장,11215,10700,서울특별시 광진구 화양동 44-86,0,0,0,0,0,0,30000,20000,40000,127.066166,37.542577
117,4842274,44-86 노상주차장,11215,10700,서울특별시 광진구 화양동 44-86,0,0,0,0,0,0,30000,20000,40000,127.06613,37.542563
118,4758109,44-89 노상주차장,11215,10700,서울특별시 광진구 화양동 44-89,0,0,0,0,0,0,30000,20000,40000,127.065996,37.542303
