일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),주차면수-대시민(pl_area_citizen),주차면수-평면식(pl_area_plane),주차면수-자주식-면수(pl_area_self_area),주차면수-자주식-층(pl_area_self_floor),주차면수-자주식-단(pl_area_self_step),주차면수-기계식-면수(pl_area_mechanic_area),주차면수-기계식-층(pl_area_mechanic_floor),주차면수-기계식-단(pl_area_mechanic_step),기계식주차장현황-계(pl_mechanic_total),기계식주차장현황-2단식(pl_mechanic_second_step),기계식주차장현황-다단식(pl_mechanic_multi_step),기계식주차장현황-수평순환식(pl_mechanic_horizon),기계식주차장현황-수직순환식(pl_mechanic_vertical),기계식주차장현황-기타(pl_mechanic_etc),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),경도(longitude),위도(latitude)
40.0,4848331.0,영동주차장,11215.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 235-3 주차장,30.0,2000.0,15.0,1000.0,20000.0,0.0,127.061215,37.536557
41.0,4848336.0,뚝섬한강공원제4주차장,11215.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 97-5,30.0,1000.0,10.0,200.0,0.0,50000.0,127.065129,37.531392
42.0,4848337.0,뚝섬한강공원2주차장,11215.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 435,30.0,1000.0,10.0,200.0,10000.0,50000.0,127.073786,37.527838
43.0,4848394.0,자투리땅제14호,11215.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 199-6,0.0,0.0,0.0,0.0,0.0,0.0,127.06217,37.535457
44.0,4848409.0,행복제2주차장,11215.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 10-2,0.0,0.0,0.0,0.0,0.0,0.0,127.066369,37.539942
45.0,4848995.0,자양유료주차장,11215.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 621-26,60.0,2000.0,0.0,0.0,15000.0,120000.0,127.080517,37.53496
46.0,4848999.0,AGIT카페,11215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 613-29,60.0,6000.0,10.0,1000.0,0.0,150000.0,127.078393,37.534097
47.0,4849004.0,삼정주차장,11215.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 602 자양종합시장,60.0,3000.0,60.0,3000.0,18000.0,0.0,127.076106,37.531982
48.0,4849005.0,뚝섬한강공원3주차장,11215.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 97-5,30.0,1000.0,10.0,200.0,10000.0,50000.0,127.066866,37.53082
49.0,4849007.0,서원주차장,11215.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 219-30,30.0,1500.0,10.0,500.0,15000.0,0.0,127.082695,37.536474
