pl_id,pl_nm,logitude,latitude,resident_day_month_amt,resident_night_month_amt,resident_allday_month_amt
5538559,219-25 노상주차장,127.0908829,37.5389152,30000,20000,40000
5538558,219-25 노상주차장,127.0908529,37.539019,30000,20000,40000
5537998,219-1 노상주차장,127.0924169,37.5404122,30000,20000,40000
5537997,219-1 노상주차장,127.0924438,37.5403781,30000,20000,40000
5537975,219-1 노상주차장,127.092636,37.540159,30000,20000,40000
4755830,219-1 노상주차장,127.092589,37.539906,30000,20000,40000
4754463,219-25 노상주차장,127.090844,37.539173,30000,20000,40000
4808263,224-6 노상주차장,127.090477,37.542756,30000,20000,40000
4755159,225-38 노상주차장,127.094147,37.542545,30000,20000,40000
5537572,227-13 노상주차장,127.0911545,37.5418601,30000,20000,40000
5537240,227-13 노상주차장,127.0909114,37.5427382,30000,20000,40000
4756200,227-13 노상주차장,127.090845,37.542713,30000,20000,40000
4755822,227-13 노상주차장,127.091030,37.542730,30000,20000,40000
5537312,229-25 거주자우선주차장,127.0914544,37.543681,30000,20000,40000
5537187,229-25 거주자우선주차장,127.0909842,37.5438477,30000,20000,40000
5537186,229-25 거주자우선주차장,127.091068,37.543791,30000,20000,40000
5528123,229-24 노상주차장,127.089324,37.543436,0,0,0
4754805,229-25 거주자우선주차장,127.091110,37.543783,30000,20000,40000
5538183,231-18 노상주차장,127.0949924,37.541244,30000,20000,40000
5538182,231-18 노상주차장,127.0950731,37.541159,30000,20000,40000
5538181,231-18 노상주차장,127.0951845,37.5410487,30000,20000,40000
4806333,231-18 노상주차장,127.095156,37.541080,30000,20000,40000
5538163,233-3 노상주차장,127.0943204,37.5419887,30000,20000,40000
5538162,233-3 노상주차장,127.0943459,37.5419547,30000,20000,40000
4759058,233-3 노상주차장,127.094355,37.541875,30000,20000,40000
4759057,233-3 노상주차장,127.094353,37.541928,30000,20000,40000
5537592,238-1 노상주차장,127.0907649,37.5406979,30000,20000,40000
5537591,238-1 노상주차장,127.0906296,37.5415531,30000,20000,40000
5537589,238-1 노상주차장,127.090938,37.5412226,30000,20000,40000
5529929,238-2 노상주차장,127.0860294,37.5420913,0,0,0
5529928,238-2 노상주차장,127.0861327,37.5420582,0,0,0
5529927,238-2 노상주차장,127.0862197,37.5420352,0,0,0
5529926,238-2 노상주차장,127.0863231,37.5420022,0,0,0
5529925,238-2 노상주차장,127.0865354,37.541936,0,0,0
5529924,238-2 노상주차장,127.0865891,37.5419193,0,0,0
5529923,238-2 노상주차장,127.0866265,37.5419211,0,0,0
5529922,238-2 노상주차장,127.0866723,37.5419094,0,0,0
5529921,238-2 노상주차장,127.0867198,37.5418938,0,0,0
5529920,238-2 노상주차장,127.0868211,37.5418677,0,0,0
5529919,238-2 노상주차장,127.0868646,37.5418551,0,0,0
5529918,238-2 노상주차장,127.0869306,37.5418424,0,0,0
5529904,238-2 노상주차장,127.087065,37.541744,0,0,0
4758471,238-1 노상주차장,127.090748,37.540604,30000,20000,40000
4758470,238-1 노상주차장,127.090707,37.540435,30000,20000,40000
4756508,238-1 노상주차장,127.090742,37.540481,30000,20000,40000
4735324,238-1 노상주차장,127.090927,37.541189,30000,20000,40000
4759060,239-32 노상주차장,127.095239,37.541003,30000,20000,40000
5532121,241-12 노상주차장,127.088397,37.540595,30000,20000,40000
5532120,241-12 노상주차장,127.088314,37.540607,30000,20000,40000
5532119,241-12 노상주차장,127.088254,37.540600,30000,20000,40000
5532118,241-12 노상주차장,127.088174,37.540641,30000,20000,40000
5532117,241-12 노상주차장,127.088123,37.540634,30000,20000,40000
5532116,241-12 노상주차장,127.088068,37.540690,30000,20000,40000
5532115,241-12 노상주차장,127.087998,37.540675,30000,20000,40000
5537890,254-32 노상주차장,127.0914146,37.5392646,30000,20000,40000
4754461,254-32 노상주차장,127.091383,37.539254,30000,20000,40000
4735958,254-32 노상주차장,127.091067,37.539236,30000,20000,40000
4810160,257-3 노상주차장,127.092903,37.543532,30000,20000,40000
4755825,257-3 노상주차장,127.092986,37.543578,30000,20000,40000
4755824,257-12 노상주차장,127.092714,37.543421,30000,20000,40000
5544202,611 노상주차장,127.0945408,37.5377163,30000,20000,40000
5544201,611 노상주차장,127.0944925,37.5377333,30000,20000,40000
4810352,611 노상주차장,127.095212,37.538963,30000,20000,40000
4810131,611 노상주차장,127.095233,37.537924,30000,20000,40000
4807922,611 노상주차장,127.095188,37.538330,30000,20000,40000
4806835,611 노상주차장,127.095072,37.537744,30000,20000,40000
