일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
6030,5011843,파랑새빌라 주차장,11215,10300,서울특별시 광진구 구의동 26-12 파랑새빌라,0,0,0,0,0,0,1,4,0.0,127.094164,37.553686
6031,5011559,자양로 322-00 주차장,11215,10300,서울특별시 광진구 구의동 26-16,0,0,0,0,0,0,1,3,0.0,127.094108,37.553909
6032,5023921,궁전빌라 주차장,11215,10300,서울특별시 광진구 구의동 27-7,0,0,0,0,0,0,1,3,12.0,127.093782,37.554202
6033,5020660,약수목욕탕 주차장,11215,10300,서울특별시 광진구 구의동 26-15 약수목욕탕,0,0,0,0,0,0,1,3,0.0,127.094206,37.554036
6034,5023920,리치캐슬아파트 주차장,11215,10300,서울특별시 광진구 구의동 27-10 리치캐슬아파트,0,0,0,0,0,0,1,7,13.0,127.094024,37.554344
6035,5065982,자양로43길 010-06 주차장,11215,10300,서울특별시 광진구 구의동 55-16,0,0,0,0,0,0,0,5,3.0,127.091282,37.551239
6036,5016594,이화맨션 주차장,11215,10300,서울특별시 광진구 구의동 52-10,0,0,0,0,0,0,1,4,6.0,127.090861,37.55196
6037,5011847,하우스청 주차장,11215,10300,서울특별시 광진구 구의동 52-19 하우스청,0,0,0,0,0,0,0,5,7.0,127.090593,37.55225
6038,5011844,자양로43길 041-00 주차장,11215,10300,서울특별시 광진구 구의동 53-13,0,0,0,0,0,0,1,4,0.0,127.09027,37.552371
6039,5011845,히트노래방 주차장,11215,10300,서울특별시 광진구 구의동 52-17,0,0,0,0,0,0,1,4,0.0,127.090495,37.552547
6040,5024411,지리산골 흑돼지 주차장,11215,10300,서울특별시 광진구 구의동 54-12,0,0,0,0,0,0,1,4,3.0,127.091196,37.550924
6041,5024176,자양로43길 008-00 주차장,11215,10300,서울특별시 광진구 구의동 55-18,0,0,0,0,0,0,1,4,3.0,127.091167,37.551135
6042,4961353,동서아트빌 주차장,11215,10300,서울특별시 광진구 구의동 50-6,0,0,0,0,0,0,0,5,5.0,127.091635,37.551815
6043,5020031,영덕주택 주차장,11215,10300,서울특별시 광진구 구의동 52-9 영덕주택,0,0,0,0,0,0,0,5,7.0,127.091238,37.551841
6044,5022969,기홍빌딩 주차장,11215,10300,서울특별시 광진구 구의동 50-26 기홍빌딩,0,0,0,0,0,0,1,4,0.0,127.09151,37.551821
6045,5022146,자양로45길 016-00 주차장,11215,10300,서울특별시 광진구 구의동 50-16,0,0,0,0,0,0,1,4,0.0,127.091446,37.551949
6046,4864247,리치빌 주차장,11215,10300,서울특별시 광진구 구의동 50-29 리치빌,0,0,0,0,0,0,0,5,5.0,127.091532,37.552138
6047,5020032,청운빌라 주차장,11215,10300,서울특별시 광진구 구의동 52-6 청운빌라,0,0,0,0,0,0,1,4,0.0,127.091103,37.55204
6048,5111064,초원빌라 주차장,11215,10300,서울특별시 광진구 구의동 51-7,0,0,0,0,0,0,0,4,4.0,127.091378,37.5526
6049,5069151,선경쉐르빌 주차장,11215,10300,서울특별시 광진구 구의동 50-2 선경쉐르빌,0,0,0,0,0,0,0,4,7.0,127.091385,37.552246
6050,5015919,삼성아트빌 주차장,11215,10300,서울특별시 광진구 구의동 52-2,0,0,0,0,0,0,0,5,6.0,127.091025,37.55226
6051,5069106,자양로45길 031-00 주차장,11215,10300,서울특별시 광진구 구의동 52-3,0,0,0,0,0,0,1,2,0.0,127.090935,37.55252
6052,5112909,자양로45길 005-00 주차장,11215,10300,서울특별시 광진구 구의동 55-10,0,0,0,0,0,0,1,4,4.0,127.091529,37.551398
6053,5022866,해뜨는집 주차장,11215,10300,서울특별시 광진구 구의동 55-9 해뜨는집,0,0,0,0,0,0,0,5,1.0,127.091387,37.551508
6054,5069657,예일어린이집 주차장,11215,10300,서울특별시 광진구 구의동 50-4 예일어린이집,0,0,0,0,0,0,1,4,2.0,127.091844,37.552231
6055,5021345,준하우스 주차장,11215,10300,서울특별시 광진구 구의동 49-7 준하우스,0,0,0,0,0,0,0,5,8.0,127.092064,37.552277
6056,5116919,자양로47길 013-00 주차장,11215,10300,서울특별시 광진구 구의동 50-24,0,0,0,0,0,0,0,4,0.0,127.091744,37.552327
6057,5021680,자양로47길 014-00 주차장,11215,10300,서울특별시 광진구 구의동 49-5,0,0,0,0,0,0,1,4,6.0,127.092001,37.552414
6058,5021347,대성예가 주차장,11215,10300,서울특별시 광진구 구의동 50-5 대성예가,0,0,0,0,0,0,0,6,10.0,127.091906,37.551929
6059,5128704,정수아트빌 주차장,11215,10300,서울특별시 광진구 구의동 50-23 정수아트빌,0,0,0,0,0,0,0,5,8.0,127.091889,37.552073
6060,5021346,자양로47길 009-03 주차장,11215,10300,서울특별시 광진구 구의동 50-22,0,0,0,0,0,0,0,4,0.0,127.091765,37.552024
6061,5021679,자양로49길 011-00 주차장,11215,10300,서울특별시 광진구 구의동 49-15,0,0,0,0,0,0,0,6,6.0,127.092088,37.552621
6062,5069594,자양로49길 015-01 주차장,11215,10300,서울특별시 광진구 구의동 49-1,0,0,0,0,0,0,1,3,0.0,127.091975,37.552692
6063,5022976,해성빌라 주차장,11215,10300,서울특별시 광진구 구의동 51-3 해성빌라,0,0,0,0,0,0,1,4,4.0,127.092561,37.552419
6064,5021331,지은아트빌 주차장,11215,10300,서울특별시 광진구 구의동 30-37,0,0,0,0,0,0,0,6,7.0,127.092204,37.552905
6065,5021330,자양로49길 016-05 주차장,11215,10300,서울특별시 광진구 구의동 29-7,0,0,0,0,0,0,1,3,4.0,127.091991,37.553116
6066,5021332,현진빌라 주차장,11215,10300,서울특별시 광진구 구의동 29-8 현진빌라,0,0,0,0,0,0,1,4,7.0,127.091978,37.552983
6067,5020142,자양로49길 022-00 주차장,11215,10300,서울특별시 광진구 구의동 29-9,0,0,0,0,0,0,1,5,8.0,127.091853,37.553077
6068,5020143,뉴월드맨션 주차장,11215,10300,서울특별시 광진구 구의동 51-13,0,0,0,0,0,0,1,4,4.0,127.091561,37.552973
6069,5120762,광현빌라 주차장,11215,10300,서울특별시 광진구 구의동 51-1 광현빌라,0,0,0,0,0,0,0,5,0.0,127.091425,37.553062
6070,5020144,현진빌라 주차장,11215,10300,서울특별시 광진구 구의동 29-18 현진빌라,0,0,0,0,0,0,0,6,13.0,127.091686,37.55316
6071,5022876,이화파크맨션 주차장,11215,10300,서울특별시 광진구 구의동 49-9 이화파크맨션,0,0,0,0,0,0,1,4,3.0,127.092317,37.552417
6072,5128963,정수아트빌 주차장,11215,10300,서울특별시 광진구 구의동 49-2 정수아트빌,0,0,0,0,0,0,0,5,8.0,127.092181,37.552541
6073,5111063,자양로49길 007-05 주차장,11215,10300,서울특별시 광진구 구의동 49-8,0,0,0,0,0,0,0,5,7.0,127.092243,37.552327
6074,5021464,자양로50가길 011-00 주차장,11215,10300,서울특별시 광진구 구의동 31-31,0,0,0,0,0,0,1,3,0.0,127.093404,37.552533
6075,5045378,자양로50가길 012-03 주차장,11215,10300,서울특별시 광진구 구의동 32-36,0,0,0,0,0,0,1,1,0.0,127.093777,37.552451
6076,5023259,현대그린빌 주차장,11215,10300,서울특별시 광진구 구의동 31-10,0,0,0,0,0,0,1,4,10.0,127.093447,37.552652
6077,5067279,자양로50가길 015-00 주차장,11215,10300,서울특별시 광진구 구의동 31-3,0,0,0,0,0,0,1,3,4.0,127.093561,37.55273
