"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",중랑구,면목7동,1957,732,4800,2293,2507,1782,3581,95,550,47,383,33,286
"합계",중랑구,상봉1동,1952,612,6705,3438,3267,1685,2850,175,2024,64,1601,28,230
"합계",중랑구,상봉2동,3344,1117,9431,4922,4509,2929,5755,270,2206,109,1118,36,352
"합계",중랑구,중화1동,1565,587,4476,2077,2399,1352,2441,112,857,58,634,43,544
"합계",중랑구,중화2동,2584,966,7044,4015,3029,2268,3896,216,2547,60,348,40,253
"합계",중랑구,묵1동,2326,847,6252,3085,3167,2011,3476,191,1466,83,994,41,316
"합계",중랑구,묵2동,2393,778,4973,2697,2276,2099,3235,196,999,56,383,42,356
"합계",중랑구,망우3동,1507,525,4272,2033,2239,1359,2646,87,771,28,384,33,471
"합계",중랑구,신내1동,3257,1059,15420,8706,6714,2556,4571,509,6562,132,3591,60,696
"합계",중랑구,신내2동,1556,600,7186,3319,3867,1313,2256,143,972,58,3554,42,404
"합계",중랑구,면목본동,3481,1336,7511,3485,4026,3186,5557,176,829,72,491,47,634
"합계",중랑구,면목3.8동,2776,1016,7878,4026,3852,2501,4320,154,1363,78,1841,43,354
"합계",중랑구,망우본동,4406,1333,12914,6788,6126,3914,7423,295,2550,147,2579,50,362
"합계",성북구,소계,34712,13393,124004,60275,63729,29533,53322,3199,27289,1498,38132,482,5261
"합계",성북구,돈암1동,688,274,2087,1034,1053,579,943,48,561,49,492,12,91
"합계",성북구,돈암2동,909,421,2893,1103,1790,783,1068,57,1073,49,509,20,243
