일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),산구분(land_registered),공유주차장구분(shared_parkinglot),번지(beonji),호(ho),주소(지번)(lot_num_address),새주소-도로명(road_nm_address),새주소-건물번호(bld_num),소유주체(possessor),급지(pl_grade),유무료(pl_fee),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),주차요금지불방식(pl_payment_option),부제시행(bool_not_driving_system),운영방식(operation_type),구간번호(section),구획번호(parcel),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),거주자-평일시작시간(resident_weekday_start_time),거주자-평일종료시간(resident_weekday_end_time),거주자-토요일시작시간(resident_sat_start_time),거주자-토요일종료시간(resident_sat_end_time),거주자-휴일시작시간(resident_holiday_start_time),거주자-휴일종료시간(resident_holiday_end_time),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),그룹관리번호(managing_group_no),경도(longitude),위도(latitude),구축기준일(final_end_dt)
22,4825438,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,138,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067745,37.546256,2022-11-25
23,4825440,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,0,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,149,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067758,37.546495,2022-11-25
24,4826990,32-12 노상주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,136,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.068291,37.545672,2022-11-25
25,4838022,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,141,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067745,37.546307,2022-11-25
26,5533079,31-25 노상주차장,11215,10700,임야도 등록,,31,25,서울특별시 광진구 화양동 31-25,아차산로23길,87-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,055-3,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067936,37.545898,2022-11-25
27,5533107,31-25 노상주차장,11215,10700,임야도 등록,,31,25,서울특별시 광진구 화양동 31-25,아차산로23길,87-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,102,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067920,37.544967,2022-11-25
28,4758135,132-27 노상주차장,11215,10700,임야도 등록,,132,27,서울특별시 광진구 화양동 132-27,능동로17길,50-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,197,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700001,127.070815,37.546764,2022-11-25
29,4756803,132-27 노상주차장,11215,10700,임야도 등록,,132,27,서울특별시 광진구 화양동 132-27,능동로17길,50-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,196-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700002,127.070979,37.546727,2022-11-25
30,4837108,132-27 노상주차장,11215,10700,임야도 등록,,132,27,서울특별시 광진구 화양동 132-27,능동로17길,50-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,196,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700003,127.071029,37.546741,2022-11-25
31,4757991,122 거주자우선주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,112,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700004,127.071091,37.546753,2022-11-25
32,4757992,122 거주자우선주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,112,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.071169,37.546755,2022-11-25
33,4757990,122 거주자우선주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,112,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700007,127.071244,37.546734,2022-11-25
34,4837100,122 거주자우선주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,112,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700008,127.071269,37.546729,2022-11-25
35,4810116,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,236,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700009,127.071316,37.546751,2022-11-25
36,4837755,132-12 노상주차장,11215,10700,임야도 등록,,132,12,서울특별시 광진구 화양동 132-12,능동로17길,47-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,234,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700010,127.071445,37.546742,2022-11-25
37,4758136,110-410 노상주차장,11215,10700,임야도 등록,,110,410,서울특별시 광진구 화양동 110-40,능동로17길,34-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,233,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700011,127.071520,37.546716,2022-11-25
38,4841828,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,245,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700012,127.071538,37.546646,2022-11-25
39,4756444,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,243,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700013,127.071498,37.546621,2022-11-25
40,4757997,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,244,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700014,127.071519,37.546583,2022-11-25
41,4757996,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,241,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700015,127.071538,37.546491,2022-11-25
42,4820453,122 노상주차장,11215,10700,임야도 등록,,122,0,서울특별시 광진구 화양동 122 화양동주민센터,능동로17길,39-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,240,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700016,127.071556,37.546463,2022-11-25
43,4820650,110-11 노상주차장,11215,10700,임야도 등록,,110,11,서울특별시 광진구 화양동 110-11,군자로6길,19-5,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,239,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700017,127.071534,37.546388,2022-11-25
44,4757995,110-11 노상주차장,11215,10700,임야도 등록,,110,11,서울특별시 광진구 화양동 110-11,군자로6길,19-5,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,238,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700018,127.071580,37.546308,2022-11-25
45,4805064,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-7,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700019,127.071817,37.546716,2022-11-25
46,4757771,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-6,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700020,127.071802,37.546660,2022-11-25
47,4738707,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-5,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700021,127.071920,37.546660,2022-11-25
48,4759328,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-4,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700022,127.071997,37.546607,2022-11-25
49,4757772,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-3,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700023,127.072026,37.546559,2022-11-25
50,4805930,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700024,127.072023,37.546501,2022-11-25
51,4837291,111-139 노상주차장,11215,10700,임야도 등록,,111,139,서울특별시 광진구 화양동 111-139,능동로17길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,201-2,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700025,127.072122,37.546503,2022-11-25
52,4757114,111-136 노상주차장,11215,10700,임야도 등록,,111,136,서울특별시 광진구 화양동 111-136,능동로17길,18-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,206,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700026,127.072420,37.546434,2022-11-25
53,4738277,60-2 노상주차장,11215,10700,임야도 등록,,60,2,서울특별시 광진구 화양동 60-2,능동로15길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,177,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700027,127.071286,37.544999,2022-11-25
54,4756443,60-2 노상주차장,11215,10700,임야도 등록,,60,2,서울특별시 광진구 화양동 60-2,능동로15길,28-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,178,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700028,127.071466,37.545087,2022-11-25
55,4808082,58-13 노상주차장,11215,10700,임야도 등록,,58,13,서울특별시 광진구 화양동 58-13,능동로15길,20-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,180,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700029,127.071817,37.545216,2022-11-25
56,4757994,58-10 노상주차장,11215,10700,임야도 등록,,58,10,서울특별시 광진구 화양동 58-10,능동로15길,18-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,181,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700030,127.071881,37.545184,2022-11-25
57,4838025,53-2 거주자우선주차장,11215,10700,임야도 등록,,53,2,서울특별시 광진구 화양동 53-2,능동로15길,16-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,182,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700031,127.071984,37.545154,2022-11-25
58,4814467,53-2 노상주차장,11215,10700,임야도 등록,,53,2,서울특별시 광진구 화양동 53-2,능동로15길,16-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,183,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700032,127.072045,37.545135,2022-11-25
59,4754804,1-22 노상주차장,11215,10700,임야도 등록,,1,22,서울특별시 광진구 화양동 1-22,군자로2길,17-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,195-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700033,127.072081,37.545046,2022-11-25
