점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,(주)더비즈랩세종대학교학술정보원점,206479.980833988,449827.630945538
휴게음식점,영업,씨유중곡중앙,208048.168292018,450496.118318739
휴게음식점,영업,피자스쿨광장점,208440.29098555,448916.291657914
휴게음식점,영업,토크빈,207146.938350709,447966.030308158
휴게음식점,영업,란다방,207641.656975815,448381.878468892
휴게음식점,영업,꿈을담은김밥,207478.470177514,449161.800135663
휴게음식점,영업,세븐일레븐구의현대점,207953.725064224,448195.730685351
휴게음식점,영업,빈스브라운,207879.750497835,450146.836392795
휴게음식점,영업,(주)한뭉치 아차산점,207699.647823745,450403.945877367
휴게음식점,영업,KFC광장점,208318.216397053,448817.091466369
휴게음식점,영업,베이커리뺑쁘레,205772.225973758,449094.943923526
휴게음식점,영업,씨유잠실대교북단점,207440.826645691,447801.434169581
휴게음식점,영업,머미,206251.514057641,449233.785524558
휴게음식점,영업,우주곰커피건대점,206246.063541478,448922.207178763
휴게음식점,영업,홍코너 테크노마트점,208394.416382167,448165.279999905
휴게음식점,영업,세븐일레븐 건대제일점,205908.683865271,448831.073626853
휴게음식점,영업,M플레이카페 구의점,207836.552906869,448503.379070146
휴게음식점,영업,국교떡볶이,205886.288968009,448517.338628068
휴게음식점,영업,수다커피,206265.844310085,448087.393600126
휴게음식점,영업,모찌모찌,208999.557532583,449386.425207138
휴게음식점,영업,카흐베하네,207088.229698384,451501.042583591
휴게음식점,영업,이디야,206279.8211319,449481.157001217
휴게음식점,영업,봉구삼촌,207508.885664636,448423.251277383
휴게음식점,영업,(주)한뭉치구의점,208296.833808974,448475.81878664
휴게음식점,영업,민스카페,207341.768147956,448093.474633392
휴게음식점,영업,이디야커피 자양동점,207529.873230795,447780.304781214
휴게음식점,영업,달아그데,207496.816837136,448867.884156182
휴게음식점,영업,행복플러스가게,207138.865762508,449705.690586932
휴게음식점,영업,GS25 자양한울점,206150.627189563,447794.684181998
휴게음식점,영업,카페피아트121,209589.042548422,449798.08201875
휴게음식점,영업,칼레오커피,206598.989988832,448502.519022853
휴게음식점,영업,헤이키즈,207131.887580037,451536.115265875
휴게음식점,영업,이즈빈,208072.562115189,447904.856376524
휴게음식점,영업,씨유,208983.029669843,449392.956808326
휴게음식점,영업,탐앤탐스탐스커버리건대점,206062.341564534,448644.931034921
휴게음식점,영업,공차건대점,206224.066067041,448835.485835757
휴게음식점,영업,서울떡볶기,206053.222553829,449028.913979764
휴게음식점,영업,냥토피아,206305.078579735,449097.491888778
휴게음식점,영업,반지만들기카페건대점,205986.886020402,448647.573904262
휴게음식점,영업,바닐라베리,206072.966008341,449729.107686464
휴게음식점,영업,카페다비다,207771.183007909,448507.942777059
휴게음식점,영업,공차건대스타시티점,206349.675048285,448396.939704285
휴게음식점,영업,버스커,206349.675048285,448396.939704285
휴게음식점,영업,스타벅스커피 광나루점,209301.892401996,449461.537061824
휴게음식점,영업,뺑드램,206696.248352292,447874.278022333
휴게음식점,영업,카페놀이터,207321.744838218,450844.361983064
휴게음식점,영업,미니스톱자양점,207089.330578767,447685.600606605
휴게음식점,영업,"오늘도,내일도",207652.55859502,448408.822086046
휴게음식점,영업,쪼아닭강정,207700.230159731,450787.360168733
휴게음식점,영업,커피바이커피,206309.59075872,450430.884671398
휴게음식점,영업,씨유구의그랜드점,207346.767386034,449051.284837542
휴게음식점,영업,씨유 자양리안점,205548.689811343,448653.085751205
휴게음식점,영업,카페리치,208394.416382167,448165.279999905
휴게음식점,영업,커피야(COFFEE YA),207083.263616847,450440.404399094
휴게음식점,영업,카페히릿,206508.851523954,449413.728670008
휴게음식점,영업,카페긴고랑길,208086.886043137,450787.068357658
휴게음식점,영업,이삭토스트 동서울터미널점,208189.434497483,448129.166313052
휴게음식점,영업,아센,207176.529121066,451719.329086886
휴게음식점,영업,플레이트,206032.404204369,449812.167768449
휴게음식점,영업,피자하우스,208087.647208835,448484.131343078
휴게음식점,영업,롯데씨브이에스711(주)군자하나점,207095.940207281,450557.738745532
휴게음식점,영업,소풍,208394.416382167,448165.279999905
휴게음식점,영업,예스이십사라이브홀카페테리아,209479.331104244,449280.291661999
휴게음식점,영업,로렌스테이블,206674.709540835,450321.568567457
휴게음식점,영업,핫떡,206122.794262166,449917.557963765
휴게음식점,영업,캠토,207507.758720831,448816.731921435
휴게음식점,영업,창대유통,206107.775163579,449029.342177779
휴게음식점,영업,이디야(자양우성점),206632.334947298,447830.956483333
휴게음식점,영업,포포피씨(PC)방건대점,206031.196548172,448731.099217371
휴게음식점,영업,스타벅스커피 군자역점,206896.697217277,450515.575725945
휴게음식점,영업,하루의시작,208902.730986087,449103.205201495
휴게음식점,영업,산풀잎,207678.329481174,449995.337773893
휴게음식점,영업,주니어스치즈케이크앤디저트,206217.434726027,448506.218743834
휴게음식점,영업,브로드카세,206217.434726027,448506.218743834
휴게음식점,영업,세븐몽키스커피,206678.650243653,450573.359771289
휴게음식점,영업,클렌치커피,207206.505727857,447709.173748072
휴게음식점,영업,할리스광장점,208419.576536497,448720.691312649
휴게음식점,영업,쉐프가만든떡볶이,206107.775163579,449029.342177779
휴게음식점,영업,맛나분식,206539.104225767,447705.917414825
휴게음식점,영업,메가엠지씨커피 구의중앙점,207407.361658113,448951.920486692
휴게음식점,영업,블링블링쿡,208191.409306404,448897.057453201
