행정동,위도,경도
구의2동,37.5479,127.0903
구의2동,37.5479,127.0903
구의2동,37.5489,127.0914
구의2동,37.5489,127.0914
구의2동,37.5473,127.0895
구의2동,37.5473,127.0895
군자동,37.5554,127.0722
군자동,37.5554,127.0722
능동,37.5527,127.0813
능동,37.5527,127.0813
능동,37.5564,127.0801
능동,37.5564,127.0801
능동,37.5555,127.0808
능동,37.5555,127.0808
능동,37.554,127.0803
능동,37.554,127.0803
능동,37.5548,127.0838
능동,37.5548,127.0838
능동,37.5538,127.0834
능동,37.5538,127.0834
능동,37.5528,127.0837
능동,37.5528,127.0837
능동,37.5537,127.0865
능동,37.5537,127.0865
능동,37.553,127.0856
능동,37.553,127.0856
능동,37.5528,127.0858
능동,37.5528,127.0858
능동,37.5522,127.0877
능동,37.5522,127.0877
능동,37.5542,127.0786
능동,37.5542,127.0786
능동,37.5521,127.0782
능동,37.5521,127.0782
능동,37.5553,127.0792
능동,37.5553,127.0792
능동,37.5533,127.0794
능동,37.5533,127.0794
자양1동,37.537,127.0789
자양1동,37.537,127.0789
중곡1동,37.5615,127.0794
중곡1동,37.5615,127.0794
중곡2동,37.5571,127.0873
중곡2동,37.5571,127.0873
중곡2동,37.5586,127.0854
중곡2동,37.5586,127.0854
중곡2동,37.5631,127.0832
중곡2동,37.5631,127.0832
중곡2동,37.5576,127.0856
중곡2동,37.5576,127.0856
중곡3동,37.5638,127.0859
중곡3동,37.5638,127.0859
중곡3동,37.5668,127.0798
중곡3동,37.5668,127.0798
중곡3동,37.5662,127.0819
중곡3동,37.5662,127.0819
중곡3동,37.5661,127.0831
중곡3동,37.5661,127.0831
중곡3동,37.5658,127.0824
중곡3동,37.5658,127.0824
중곡3동,37.5667,127.0854
중곡3동,37.5667,127.0854
중곡3동,37.5671,127.0789
중곡3동,37.5671,127.0789
중곡4동,37.5595,127.0914
중곡4동,37.5595,127.0914
중곡4동,37.559,127.0944
중곡4동,37.559,127.0944
중곡4동,37.5705,127.0879
중곡4동,37.5705,127.0879
중곡4동,37.5709,127.0875
중곡4동,37.5709,127.0875
중곡4동,37.562,127.0956
중곡4동,37.562,127.0956
중곡4동,37.5611,127.095
중곡4동,37.5611,127.095
중곡4동,37.5588,127.0934
중곡4동,37.5588,127.0934
중곡4동,37.5589,127.0941
중곡4동,37.5589,127.0941
화양동,37.5426,127.0694
화양동,37.5426,127.0694
광장동,37.5459,127.1043
광장동,37.548,127.1021
구의1동,37.5444,127.0859
구의1동,37.5411,127.0872
구의1동,37.5413,127.0857
구의1동,37.5417,127.0872
구의1동,37.541,127.0845
구의1동,37.5384,127.0864
구의1동,37.5412,127.0887
구의2동,37.5525,127.0956
구의2동,37.551,127.096
구의2동,37.5526,127.0951
구의3동,37.5394,127.091
구의3동,37.5382,127.092
구의3동,37.541,127.0923
구의3동,37.5425,127.0912
군자동,37.5573,127.0738
군자동,37.554,127.0737
군자동,37.5569,127.073
군자동,37.5529,127.0716
군자동,37.5516,127.0705
능동,37.5553,127.0822
능동,37.5537,127.0865
자양1동,37.5345,127.0764
자양1동,37.5321,127.0816
자양1동,37.5356,127.0779
자양2동,37.5325,127.0889
자양2동,37.5291,127.0836
자양2동,37.5298,127.0818
자양2동,37.5313,127.0843
자양3동,37.5335,127.0728
자양3동,37.5357,127.0705
자양3동,37.5317,127.0719
자양4동,37.5378,127.066
자양4동,37.5391,127.0682
자양4동,37.535,127.0606
자양4동,37.5352,127.0654
자양4동,37.5354,127.0647
자양4동,37.5371,127.0682
자양4동,37.5374,127.066
자양4동,37.5375,127.0654
중곡1동,37.5641,127.0824
중곡1동,37.5637,127.0776
중곡1동,37.5599,127.0746
중곡1동,37.5613,127.0771
중곡1동,37.5597,127.0778
중곡1동,37.5627,127.0768
중곡2동,37.5591,127.0869
중곡2동,37.5578,127.0873
중곡2동,37.556,127.0848
중곡2동,37.5564,127.0839
중곡3동,37.5684,127.084
중곡3동,37.5682,127.0838
중곡3동,37.5704,127.0806
중곡3동,37.5662,127.0857
중곡3동,37.571,127.0857
중곡3동,37.5679,127.0838
중곡4동,37.5689,127.0881
중곡4동,37.5677,127.088
중곡4동,37.5537,127.0898
중곡4동,37.5695,127.0881
중곡4동,37.5556,127.0898
화양동,37.5448,127.0714
화양동,37.5448,127.0714
화양동,37.547,127.0706
화양동,37.5445,127.0671
화양동,37.5434,127.0666
화양동,37.5453,127.075
구의2동,37.5544,127.1034
구의2동,37.5632,127.1008
구의2동,37.5686,127.1031
